normal,predict
[2137217433600.0],[3415192109056.0]
[202888.96875],[265038.125]
[13806.201171875],[11086.423828125]
[1.6601655767518443e+25],[1.0555507263017413e+24]
[12988431360.0],[1527127168.0]
[954179.5625],[581190.5]
[1.2291880291559014e+18],[3.082396186074677e+18]
[473.10009765625],[96.96002960205078]
[954179.5625],[902353.75]
[14009.4345703125],[1.6600393056869507]
[179821.84375],[497588.125]
[343.5999450683594],[368.62188720703125]
[241192.265625],[164991.140625]
[954179.5625],[36125.2421875]
[271301.84375],[145312.3125]
[453504.84375],[316468.1875]
[129.72996520996094],[130.31661987304688]
[24346028.0],[17578180.0]
[17278044160.0],[4305613824.0]
[1516641845248.0],[140356829184.0]
[12988431360.0],[13883457536.0]
[1115492.5],[717164.75]
[343.5999450683594],[474.4698486328125]
[1542278.875],[1038954.4375]
[176170.3125],[79466.7109375]
[321.99993896484375],[151.54087829589844]
[17272344576.0],[27276650496.0]
[927817.25],[41399.51171875]
[927817.25],[44588.3046875]
[47166.328125],[3370.81396484375]
[25580102.0],[63446512.0]
[61332468.0],[65506232.0]
[1859570.0],[170142.671875]
[12988158976.0],[1568485120.0]
[11.600001335144043],[1.3933769464492798]
[14009.4345703125],[2511.689697265625]
[800952512.0],[64316220.0]
[353111.4375],[252412.96875]
[4755245498368.0],[1821022355456.0]
[475.3999328613281],[373.58294677734375]
[70905360.0],[36374552.0]
